"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2022","200,86","204,46","204,47","199,01","1,36M","-2,70%"
"28.10.2022","206,44","203,58","207,80","202,79","2,02M","0,98%"
"27.10.2022","204,43","206,31","207,60","203,75","1,22M","-0,76%"
"26.10.2022","206,00","202,47","209,38","201,14","1,49M","0,43%"
"25.10.2022","205,12","198,64","205,27","197,22","2,07M","4,23%"
"24.10.2022","196,79","201,80","202,40","193,48","3,01M","-2,48%"
"21.10.2022","201,80","201,10","203,19","196,96","2,38M","0,42%"
"20.10.2022","200,95","206,30","210,09","200,73","2,86M","-3,06%"
"19.10.2022","207,29","214,45","214,50","206,61","1,85M","-3,69%"
"18.10.2022","215,24","219,08","220,30","213,33","2,07M","1,06%"
"17.10.2022","212,98","211,78","215,02","210,93","1,27M","1,75%"
"14.10.2022","209,31","215,81","217,16","208,79","1,39M","-1,85%"
"13.10.2022","213,26","209,07","215,65","206,19","1,86M","-0,86%"
"12.10.2022","215,10","216,07","216,28","211,82","1,80M","0,49%"
"11.10.2022","214,05","215,66","218,72","210,66","1,55M","-1,31%"
"10.10.2022","216,90","219,81","220,24","214,19","903,12K","-1,31%"
"07.10.2022","219,77","226,08","226,63","218,80","1,39M","-4,07%"
"06.10.2022","229,10","225,56","231,60","225,55","1,92M","1,26%"
"05.10.2022","226,24","224,09","227,12","221,01","1,22M","-0,45%"
"04.10.2022","227,26","223,61","227,46","223,54","1,57M","3,73%"
"03.10.2022","219,09","217,86","221,13","213,08","2,11M","1,48%"
"30.09.2022","215,90","217,86","221,11","215,85","1,68M","-1,57%"
"29.09.2022","219,35","225,30","226,63","216,51","1,84M","-3,85%"
"28.09.2022","228,14","226,18","228,94","224,26","1,58M","0,91%"
"27.09.2022","226,08","235,53","236,16","223,73","2,15M","-2,74%"
"26.09.2022","232,46","227,87","234,34","225,53","1,63M","1,50%"
"23.09.2022","229,02","231,99","233,41","225,56","1,39M","-2,51%"
"22.09.2022","234,91","236,66","237,64","233,00","1,11M","-1,24%"
"21.09.2022","237,86","245,56","247,43","237,86","1,28M","-0,68%"
"20.09.2022","239,50","239,02","241,44","237,46","1,16M","-0,89%"
"19.09.2022","241,66","236,29","241,67","236,00","1,04M","0,95%"
"16.09.2022","239,38","241,82","242,51","237,63","1,70M","-2,21%"
"15.09.2022","244,78","243,86","249,10","243,38","1,28M","-0,55%"
"14.09.2022","246,14","245,66","247,96","242,68","1,04M","0,36%"
"13.09.2022","245,26","248,00","250,69","244,92","1,23M","-3,98%"
"12.09.2022","255,42","253,98","260,28","253,64","1,35M","1,00%"
"09.09.2022","252,90","250,06","254,04","249,98","1,58M","2,00%"
"08.09.2022","247,94","245,29","249,71","243,40","1,57M","-0,02%"
"07.09.2022","247,99","247,08","249,86","243,93","1,78M","0,75%"
"06.09.2022","246,15","249,32","251,16","244,89","1,44M","-0,87%"
"02.09.2022","248,32","255,36","255,79","246,85","1,03M","-1,14%"
"01.09.2022","251,18","252,16","252,75","247,08","1,85M","-1,26%"
"31.08.2022","254,38","258,29","259,35","254,34","1,49M","-1,06%"
"30.08.2022","257,11","260,73","262,58","254,79","981,44K","-1,05%"
"29.08.2022","259,84","258,70","264,52","258,70","778,59K","-0,78%"
"26.08.2022","261,88","278,19","279,32","261,55","1,14M","-5,57%"
"25.08.2022","277,32","266,96","277,56","266,57","1,17M","4,48%"
"24.08.2022","265,43","266,00","267,48","263,81","1,17M","-0,05%"
"23.08.2022","265,56","263,64","267,94","263,56","923,75K","0,11%"
"22.08.2022","265,27","267,43","270,56","264,74","1,23M","-2,93%"
"19.08.2022","273,28","280,19","280,79","271,69","1,45M","-2,96%"
"18.08.2022","281,62","271,00","284,45","268,18","2,45M","1,84%"
"17.08.2022","276,52","273,07","278,15","271,80","1,20M","0,15%"
"16.08.2022","276,11","274,99","278,09","273,09","1,08M","-0,09%"
"15.08.2022","276,37","273,38","277,09","272,42","1,04M","0,36%"
"12.08.2022","275,38","273,90","275,43","270,78","1,08M","1,86%"
"11.08.2022","270,36","274,79","276,57","269,37","1,02M","-0,79%"
"10.08.2022","272,50","270,04","274,13","270,04","797,00K","2,59%"
"09.08.2022","265,63","268,74","269,17","265,00","1,04M","-1,68%"
"08.08.2022","270,16","269,42","273,38","268,43","1,10M","-0,21%"
"05.08.2022","270,74","268,75","271,98","266,46","999,18K","-0,94%"
"04.08.2022","273,31","269,53","273,92","268,55","844,18K","1,39%"
"03.08.2022","269,56","269,54","270,28","264,92","1,35M","0,44%"
"02.08.2022","268,39","270,50","273,35","267,17","1,29M","-1,87%"
"01.08.2022","273,51","270,37","274,69","268,23","1,38M","0,15%"
"29.07.2022","273,10","272,63","274,15","271,03","1,38M","0,67%"
"28.07.2022","271,29","265,06","271,89","260,82","1,45M","2,99%"
"27.07.2022","263,42","255,17","264,37","253,85","1,26M","4,61%"
"26.07.2022","251,82","255,39","255,93","250,69","970,73K","-2,66%"
"25.07.2022","258,69","259,84","261,05","254,02","586,41K","-0,54%"
"22.07.2022","260,10","263,34","265,80","257,94","800,93K","-0,94%"
"21.07.2022","262,57","258,08","262,83","256,74","1,24M","1,85%"
"20.07.2022","257,80","255,59","258,70","253,40","1,01M","0,94%"
"19.07.2022","255,40","249,59","255,63","247,38","1,06M","3,92%"
"18.07.2022","245,77","248,86","254,33","244,90","889,63K","0,09%"
"15.07.2022","245,54","246,77","248,05","244,57","791,73K","0,64%"
"14.07.2022","243,98","242,99","244,67","240,67","906,41K","-0,59%"
"13.07.2022","245,44","239,37","248,81","238,52","1,04M","0,47%"
"12.07.2022","244,30","243,97","247,29","242,51","1,21M","-0,53%"
"11.07.2022","245,59","249,53","251,30","244,80","1,37M","-2,34%"
"08.07.2022","251,48","257,02","257,27","248,76","1,36M","-3,03%"
"07.07.2022","259,34","258,19","260,00","256,11","1,02M","0,82%"
"06.07.2022","257,24","259,87","261,95","256,99","1,32M","-0,69%"
"05.07.2022","259,03","249,71","259,33","249,22","1,11M","0,98%"
"01.07.2022","256,52","254,45","257,15","250,72","944,57K","0,73%"
"30.06.2022","254,67","253,09","256,89","248,64","1,31M","-0,90%"
"29.06.2022","256,99","256,60","258,11","253,16","1,04M","-0,15%"
"28.06.2022","257,37","261,09","268,60","256,31","1,70M","-2,09%"
"27.06.2022","262,87","268,64","269,88","261,45","1,41M","-2,71%"
"24.06.2022","270,20","261,94","270,30","260,67","2,11M","4,50%"
"23.06.2022","258,56","250,17","258,82","250,17","1,77M","4,30%"
"22.06.2022","247,91","244,75","249,96","243,55","1,23M","0,47%"
"21.06.2022","246,76","241,92","247,95","237,60","1,73M","3,75%"
"17.06.2022","237,83","233,00","240,75","232,90","1,94M","2,02%"
"16.06.2022","233,12","236,95","239,97","230,18","1,59M","-4,11%"
"15.06.2022","243,12","241,54","249,32","238,01","1,61M","0,97%"
"14.06.2022","240,78","238,02","246,76","238,00","1,31M","1,06%"
"13.06.2022","238,26","240,87","243,67","236,05","1,65M","-4,50%"
"10.06.2022","249,48","253,74","254,33","248,72","1,32M","-3,60%"
"09.06.2022","258,79","266,45","266,49","258,70","1,63M","-3,39%"
"08.06.2022","267,86","267,52","272,71","266,23","1,50M","-1,28%"
"07.06.2022","271,32","260,81","271,67","260,81","1,50M","2,12%"
"06.06.2022","265,68","267,88","269,77","264,48","1,35M","0,55%"
"03.06.2022","264,22","259,43","264,96","259,23","1,81M","-0,07%"
"02.06.2022","264,40","253,12","264,59","251,93","1,94M","5,58%"
"01.06.2022","250,42","257,36","261,32","250,20","1,56M","-1,66%"
"31.05.2022","254,65","253,68","262,89","251,64","3,73M","1,11%"
"27.05.2022","251,86","246,48","254,58","243,09","1,82M","4,77%"
"26.05.2022","240,40","235,48","241,50","233,79","1,19M","3,57%"
"25.05.2022","232,11","230,17","232,88","225,70","1,35M","0,02%"
"24.05.2022","232,06","235,28","236,23","227,79","1,66M","-1,92%"
"23.05.2022","236,60","240,19","240,19","231,31","1,50M","-0,26%"
"20.05.2022","237,21","237,15","238,88","229,49","1,79M","0,78%"
"19.05.2022","235,38","228,47","239,10","227,71","2,18M","2,73%"
"18.05.2022","229,13","238,00","238,42","228,43","2,14M","-5,54%"
"17.05.2022","242,58","240,98","242,99","234,76","2,16M","3,06%"
"16.05.2022","235,38","238,87","239,95","234,65","1,56M","-2,08%"
"13.05.2022","240,39","234,52","241,51","234,16","1,79M","4,06%"
"12.05.2022","231,00","227,07","235,21","225,39","2,17M","0,66%"
"11.05.2022","229,49","232,52","239,26","228,67","1,72M","-0,08%"
"10.05.2022","229,68","237,35","238,49","227,20","2,24M","-1,67%"
"09.05.2022","233,58","235,10","240,30","232,00","1,98M","-2,80%"
"06.05.2022","240,30","239,57","242,73","234,26","1,83M","-0,63%"
"05.05.2022","241,83","250,82","252,50","238,29","2,59M","-6,00%"
"04.05.2022","257,26","246,74","258,19","243,05","2,20M","4,78%"
"03.05.2022","245,52","227,50","252,00","227,49","4,80M","-5,80%"
"02.05.2022","260,63","261,11","263,40","253,36","2,71M","-1,30%"
"29.04.2022","264,06","268,41","272,46","262,83","1,51M","-3,04%"
"28.04.2022","272,33","262,30","274,71","262,12","1,48M","4,89%"
"27.04.2022","259,64","255,39","263,10","255,19","1,44M","1,91%"
"26.04.2022","254,77","265,95","266,08","254,77","1,35M","-5,01%"
"25.04.2022","268,22","263,04","268,78","257,76","1,40M","1,58%"
"22.04.2022","264,04","273,46","275,96","263,54","1,50M","-2,91%"
"21.04.2022","271,95","280,89","283,61","271,20","948,58K","-2,27%"
"20.04.2022","278,26","283,13","285,79","277,82","1,57M","1,35%"
"19.04.2022","274,56","262,38","276,22","262,38","1,78M","3,95%"
"18.04.2022","264,12","263,11","266,29","262,40","1,09M","0,09%"
"14.04.2022","263,87","267,00","270,70","263,69","1,55M","-1,02%"
"13.04.2022","266,58","263,85","267,66","262,42","967,57K","1,48%"
"12.04.2022","262,70","265,19","269,66","261,21","1,29M","0,16%"
"11.04.2022","262,28","264,00","266,02","260,55","1,31M","-1,64%"
"08.04.2022","266,64","267,64","270,45","266,25","1,08M","-0,14%"
"07.04.2022","267,02","267,87","271,37","262,93","1,79M","0,87%"
"06.04.2022","264,73","268,61","268,61","261,04","2,04M","-2,91%"
"05.04.2022","272,66","274,09","276,78","271,55","1,02M","-2,14%"
"04.04.2022","278,62","274,32","279,60","272,23","1,29M","1,53%"
"01.04.2022","274,41","275,21","276,93","272,12","1,19M","0,77%"
"31.03.2022","272,32","278,58","279,42","272,32","1,44M","-2,45%"
"30.03.2022","279,16","283,13","283,49","277,21","1,19M","-2,03%"
"29.03.2022","284,93","288,33","289,59","281,68","1,21M","2,63%"
"28.03.2022","277,62","276,67","277,77","271,88","1,07M","0,99%"
"25.03.2022","274,89","278,91","280,53","272,56","981,97K","-0,65%"
"24.03.2022","276,68","275,87","276,80","273,07","836,08K","1,19%"
"23.03.2022","273,43","279,31","280,99","273,25","1,03M","-3,00%"
"22.03.2022","281,90","278,68","282,85","276,87","1,64M","2,89%"
"21.03.2022","273,97","275,66","278,76","270,45","1,26M","-1,05%"
"18.03.2022","276,87","273,67","279,19","271,26","2,02M","1,64%"
"17.03.2022","272,39","269,52","274,43","268,46","1,69M","0,56%"
"16.03.2022","270,88","264,37","272,38","263,00","2,01M","4,63%"
"15.03.2022","258,90","255,07","259,99","252,77","2,17M","3,40%"
"14.03.2022","250,38","266,07","266,26","248,42","2,88M","-5,24%"
"11.03.2022","264,23","278,12","279,00","264,07","1,86M","-3,34%"
"10.03.2022","273,36","274,83","276,14","269,95","1,51M","-1,56%"
"09.03.2022","277,68","282,98","283,94","276,10","1,44M","2,91%"
"08.03.2022","269,84","262,55","279,07","262,23","2,62M","2,26%"
"07.03.2022","263,87","285,08","285,51","262,81","2,46M","-7,64%"
"04.03.2022","285,69","286,78","289,70","283,85","1,61M","-2,23%"
"03.03.2022","292,20","294,40","295,98","286,02","1,56M","0,15%"
"02.03.2022","291,75","289,47","294,05","287,75","1,06M","2,16%"
"01.03.2022","285,59","294,99","294,99","282,37","2,02M","-3,62%"
"28.02.2022","296,33","295,52","298,19","292,52","1,52M","-1,33%"
"25.02.2022","300,33","294,76","300,74","293,05","926,71K","2,46%"
"24.02.2022","293,13","281,98","293,67","279,37","2,00M","0,76%"
"23.02.2022","290,93","300,05","300,12","290,58","1,40M","-1,61%"
"22.02.2022","295,68","300,00","301,76","293,55","1,93M","-2,41%"
"18.02.2022","302,99","305,12","307,12","300,85","1,02M","-0,43%"
"17.02.2022","304,29","307,10","309,99","303,38","1,04M","-1,41%"
"16.02.2022","308,65","306,00","310,12","302,93","983,95K","0,36%"
"15.02.2022","307,53","309,73","311,59","306,12","1,33M","1,21%"
"14.02.2022","303,85","300,77","305,14","299,65","1,35M","1,02%"
"11.02.2022","300,77","313,31","315,50","300,10","1,98M","-4,70%"
"10.02.2022","315,61","313,57","319,32","310,82","1,42M","-1,38%"
"09.02.2022","320,04","319,68","324,70","317,04","1,32M","1,57%"
"08.02.2022","315,08","311,14","315,50","310,11","1,25M","0,21%"
"07.02.2022","314,43","315,53","318,52","311,42","1,34M","0,34%"
"04.02.2022","313,35","309,88","316,96","305,02","2,58M","3,37%"
"03.02.2022","303,12","304,82","317,97","299,95","2,40M","-5,03%"
"02.02.2022","319,17","317,27","319,53","312,20","2,25M","1,32%"
"01.02.2022","315,02","312,04","316,24","308,79","1,73M","1,04%"
"31.01.2022","311,79","302,58","311,82","302,58","1,51M","2,63%"
"28.01.2022","303,79","294,90","304,15","292,01","1,94M","1,88%"
"27.01.2022","298,19","298,14","304,89","294,24","2,22M","1,92%"
"26.01.2022","292,57","298,43","304,43","289,14","1,83M","-0,56%"
"25.01.2022","294,21","297,85","300,30","292,94","1,82M","-2,51%"
"24.01.2022","301,79","294,00","303,73","283,54","2,64M","1,61%"
"21.01.2022","297,02","300,00","302,57","296,76","2,24M","-1,34%"
"20.01.2022","301,06","311,37","315,77","300,06","2,04M","-2,73%"
"19.01.2022","309,52","314,89","319,07","309,01","2,04M","-0,46%"
"18.01.2022","310,95","314,70","317,15","309,42","2,45M","-3,45%"
"14.01.2022","322,05","330,39","331,15","318,64","2,55M","-3,69%"